Name,ROM,Display,Camera,Discount,Rating,Selling Price,MRP
"Google Pixel 9 (Obsidian, 256 GB)",12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,18% off,4.5,"₹64,999","₹79,999"
"Google Pixel 8 Pro (Obsidian, 256 GB)",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50MP + 48MP + 48MP | 10.5MP Front Camera,42% off,4.4,"₹64,999","₹1,13,999"
"Google Pixel 8a (Bay, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,28% off,4.3,"₹37,999","₹52,999"
"Google Pixel 7 (Snow, 128 GB)",8 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,50MP + 12MP | 10.8MP Front Camera,50% off,4.3,"₹29,999","₹59,999"
"Google Pixel 9 Pro XL (Hazel, 256 GB)",16 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 48MP + 48MP | 42MP Front Camera,16% off,4.6,"₹1,04,999","₹1,24,999"
"Google Pixel 9 Pro Fold (Obsidian, 256 GB)",16 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,48MP + 10.5MP + 10.8MP | 10MP Front Camera,24% off,4.6,"₹1,29,999","₹1,72,999"
"Google Pixel 9 Pro XL (Obsidian, 512 GB)",16 GB RAM | 512 GB ROM,17.27 cm (6.8 inch) Display,50MP + 48MP + 48MP | 42MP Front Camera,14% off,4.6,"₹1,19,999","₹1,39,999"
"Google Pixel 8 Pro (Bay, 128 GB)",12 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50MP + 48MP + 48MP | 10.5MP Front Camera,43% off,4.4,"₹59,999","₹1,06,999"
"Google Pixel 8a (Aloe, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,28% off,4.3,"₹37,999","₹52,999"
"Google GP 3XL (White, 128 GB)",4 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Display,12.2MP Rear Camera,17% off,,"₹21,216","₹25,799"
"Google Pixel 8a (Obsidian, 256 GB)",8 GB RAM | 256 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,25% off,4.3,"₹44,999","₹59,999"
"Google Pixel 9 Pro (Rose Quartz, 256 GB)",16 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP + 48MP | 42MP Front Camera,18% off,4.5,"₹89,999","₹1,09,999"
"Google Pixel 9 (Peony, 256 GB)",12 GB RAM | 256 GB ROM,16.0 cm (6.3 inch) Display,50MP + 48MP | 10.5MP Front Camera,18% off,4.5,"₹64,999","₹79,999"
"Google Pixel 6a (Chalk, 128 GB)",6 GB RAM | 128 GB ROM,15.6 cm (6.14 inch) Full HD+ Display,12.2MP + 12MP | 8MP Front Camera,6% off,4.3,"₹41,219","₹43,999"
"Google Pixel 7a (Charcoal, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP (OIS) + 13MP | 13MP Front Camera,36% off,4.2,"₹27,999","₹43,999"
"Google Pixel 7a (Sea, 128 GB)",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP (OIS) + 13MP | 13MP Front Camera,36% off,4.2,"₹27,999","₹43,999"
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,32% off,4.1,"₹9,499","₹13,999"
"realme 15 5G (Flowing Silver, 128 GB)",8 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,13% off,4.4,"₹25,999","₹29,999"
"realme P3 5G (Comet Grey, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,20% off,4.4,"₹15,999","₹19,999"
"realme P3x 5G (Midnight Blue, 128 GB)",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,50MP Rear Camera | 8MP Front Camera,23% off,4.4,"₹12,999","₹16,999"
"realme P3 5G (Space Silver, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,19% off,4.4,"₹16,999","₹20,999"
"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)",12 GB RAM | 256 GB ROM,20.32 cm (8 inch) QXGA+ Display,200MP + 12MP + 10MP | 10MP Front Camera,,4.7,"₹1,74,999",
"realme P3 5G (Space Silver, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,20% off,4.4,"₹15,999","₹19,999"
"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,18% off,4.4,"₹17,188","₹20,999"
"realme P3 5G (Nebula Pink, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,20% off,4.4,"₹15,999","₹19,999"
"realme P3 5G (Space Silver, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,19% off,4.4,"₹18,499","₹22,999"
"realme 15 Pro 5G (Flowing Silver, 256 GB)",8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 50MP | 50MP Front Camera,10% off,4.4,"₹33,999","₹37,999"
"Samsung Galaxy F16 5G (Glam Green, 128 GB)",4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,28% off,4.2,"₹11,499","₹15,999"
"realme P2 Pro 5G (Parrot Green, 256 GB)",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,32% off,4.4,"₹18,999","₹27,999"
"realme P3x 5G (Stellar Pink, 128 GB)",6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,50MP Rear Camera | 8MP Front Camera,23% off,4.4,"₹12,999","₹16,999"
"realme C30s (Stripe Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,60% off,4.4,"₹3,925","₹9,999"
"realme P1 5G (Phoenix Red, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,41% off,4.4,"₹12,300","₹20,999"
"Samsung Galaxy F36 5G (Violet, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,23% off,4.3,"₹17,499","₹22,999"
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,25% off,4.2,"₹12,999","₹17,499"
"realme P3 Ultra 5G (Glowing Lunar White, 128 GB)",8 GB RAM | 128 GB ROM,17.35 cm (6.83 inch) Display,50MP + 8MP | 16MP Front Camera,28% off,4.4,"₹22,999","₹31,999"
"realme C61 (Safari Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,14% off,4.4,"₹7,699","₹8,999"
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,35% off,4.3,"₹21,999","₹33,999"
"Samsung Galaxy F16 5G (Bling Black, 128 GB)",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,25% off,4.2,"₹12,999","₹17,499"
"realme C61 (Safari Green, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,25% off,4.3,"₹8,199","₹10,999"
"realme P3 5G (Nebula Pink, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,19% off,4.4,"₹16,999","₹20,999"
